TEKST,TŁUMACZENIE,LINK DO OBRAZKA,ZDANIE_EN,ZDANIE_ES
house,la casa,https://static.thenounproject.com/png/house-icon-8041868-512.png,This is my house.,Esta es mi casa.
cat,el gato,https://static.thenounproject.com/png/cat-icon-7548257-512.png,The cat is sleeping.,El gato está durmiendo.
dog,el perro,https://static.thenounproject.com/png/dog-icon-6999950-512.png,The dog is barking.,El perro está ladrando.
book,el libro,https://static.thenounproject.com/png/book-icon-7234991-512.png,This book is interesting.,Este libro es interesante.
car,el carro,https://static.thenounproject.com/png/car-icon-7979293-512.png,My car is red.,Mi carro es rojo.
apple,la manzana,https://static.thenounproject.com/png/apple-icon-8028906-512.png,The apple is sweet.,La manzana es dulce.
sun,el sol,https://static.thenounproject.com/png/sun-icon-7988889-512.png,The sun is shining.,El sol está brillando.
moon,la luna,https://static.thenounproject.com/png/moon-icon-8038838-512.png,The moon is bright.,La luna es brillante.
tree,el arborl,https://static.thenounproject.com/png/tree-icon-8030080-512.png,The tree is tall.,El árbol es alto.
banana,el plátano,https://static.thenounproject.com/png/bananas-icon-1137976-512.png,The monkey is eating a banana,El mono está comiendo un plátano
orange,la naranja,https://static.thenounproject.com/png/orange-icon-7706831-512.png,Can I have an orange?,¿Puedo comer el naranja?
strawberry,la fresa,https://static.thenounproject.com/png/strawberry-icon-8070899-512.png,Strawberries are my favorite fruit,Las fresas son mi fruta favorita
grapes,las uvas,https://static.thenounproject.com/png/grape-icon-7957732-512.png,We bought grapes at the market,Compramos uvas en el mercado
pear,la pera,https://static.thenounproject.com/png/pear-icon-8066163-512.png,She gave me a pear,Ella me dio una pera
peach,el melocotón,https://static.thenounproject.com/png/peach-icon-7975782-512.png,The peach is juicy,El melocotón está jugoso
cherry,la cereza,https://static.thenounproject.com/png/cherry-icon-8057124-512.png,There is a cherry on the cake,Hay una cereza en el pastel
pineapple,la piña,https://static.thenounproject.com/png/pineapple-icon-8004311-512.png,The pineapple is very sweet,La piña es muy dulce
watermelon,la sandía,https://static.thenounproject.com/png/watermelon-icon-4916907-512.png,We ate watermelon in the summer,Comimos sandía en el verano
lemon,el limón,https://static.thenounproject.com/png/lemon-icon-8066182-512.png,He drinks water with lemon,Él bebe agua con limón
mango,el mango,https://static.thenounproject.com/png/mango-icon-1610242-512.png,This mango tastes delicious,Este mango sabe delicioso
kiwi,el kiwi,https://static.thenounproject.com/png/kiwi-icon-8053504-512.png,The kiwi is full of vitamins,El kiwi lleno de vitaminas
plum,la ciruela,https://static.thenounproject.com/png/plum-icon-8003860-512.png,I bought a bag of plums,Compré una bolsa de ciruelas
apricot,el albaricoque,https://static.thenounproject.com/png/apricot-icon-8057127-512.png,This apricot is very sweet,Este albaricoque está muy dulce
coconut,el coco,https://static.thenounproject.com/png/coconut-icon-7668402-512.png,The coconut has a lot of water,El coco tiene mucha agua
blueberry,el arándano,https://static.thenounproject.com/png/blueberry-icon-449536-512.png,Blueberries are healthy,Los arándanos son saludables
raspberry,la frambuesa,https://static.thenounproject.com/png/raspberry-icon-7571381-512.png,Raspberries grow in the garden,Las frambuesas crecen en el jardín
fig,el higo,https://static.thenounproject.com/png/fig-icon-8011735-512.png,Figs are often dried,Los higos suelen estar secos
pomegranate,la granada,https://static.thenounproject.com/png/pomegranate-sliced-icon-7864230-512.png,Pomegranate juice is tasty,El zumo de granada es sabroso
tangerine,la mandarina,https://static.thenounproject.com/png/tangerine-icon-7233969-512.png,I eat a tangerine every night,Como una mandarina cada noche
